"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000007978",614.532606511652,0.317047311171162,0.144712222586569,2.19088136098179,0.0284603788853486,0.145675263586178
"ENSGALG00000008003",142.102345736534,0.112702653208822,0.210251735192251,0.536036732851542,0.591933163827827,0.784467531796178
"ENSGALG00000008013",37.1656173768953,0.690792550470675,0.255310978428033,2.705690741244,0.00681624909115258,0.0659642789465095
"ENSGALG00000028816",0.226105120400992,0.0216197542424857,0.203663209968983,0.106154441176579,0.915459817304307,NA
"ENSGALG00000020819",2.05261380766088,0.0874436519268543,0.350858050369154,0.249228004986207,0.803184417906137,NA
"ENSGALG00000027499",0.105374673219764,-0.0964962314193778,0.13980176448028,-0.690236148149539,0.490045694540274,NA
"ENSGALG00000008036",3472.31485186954,0.210661726661269,0.192744145500218,1.09296044305029,0.274411168056148,0.523905740432822
"ENSGALG00000008048",0.0781630849872211,0.0862119661643068,0.126026844864957,0.684076208181571,0.493927044567592,NA
"ENSGALG00000027296",0.08952537336571,0.135040077358213,0.155550811053012,0.868141261649806,0.385317005179912,NA
"ENSGALG00000008087",3.31062194631115,1.20084687472191,0.37881474769133,3.17001088801431,0.00152433225585283,0.0275332513713417
"ENSGALG00000008103",624.943206064602,0.213239451704233,0.170883327448987,1.24786575078772,0.212080224962032,0.451948613262822
"ENSGALG00000008111",174.387797570948,0.34443816398733,0.197898155727361,1.74048192981572,0.0817744303433902,0.26832011772936
"ENSGALG00000008144",3758.96562081754,0.116903487687456,0.185307728009844,0.630861372825453,0.528131170273924,0.739063772862734
"ENSGALG00000008153",12.3088891104738,-0.214627610993661,0.348477077939893,-0.615901660627104,0.537959425492728,0.745706639371362
"ENSGALG00000008162",256.983604528194,-0.313612362793115,0.208886029789975,-1.50135632865653,0.133263422946151,0.348482202571063
"ENSGALG00000008168",71.0532148241414,-0.310195834355609,0.202576596220226,-1.53125208016817,0.125707103806687,0.337539721834657
"ENSGALG00000008169",11390.6562637518,0.174367291165584,0.155738445280322,1.11961623125061,0.262877335792619,0.511283943350924
"ENSGALG00000008171",69.196748186761,-0.0788793490329164,0.245804848281263,-0.320902332010386,0.748284406637836,0.877114246838881
"ENSGALG00000008401",47.4867355172041,-0.687570038785578,0.213653567821835,-3.21815378884261,0.00129018621388145,0.0247320625822468
"ENSGALG00000008424",0.480449547373821,0.352862499464888,0.340087684536261,1.03756329767144,0.299473412495177,NA
"ENSGALG00000008437",1155.34622894701,-0.379343085985121,0.165841106935471,-2.28738877227058,0.0221731410562823,0.125964452038991
"ENSGALG00000008444",115.533738543563,-0.0265156961684103,0.149484427372828,-0.177380993019946,0.859209135952565,0.936855707333749
"ENSGALG00000008449",5.97337406905319,-0.197869395267363,0.384358192853883,-0.514804676851483,0.60668951688957,0.794242110878962
"ENSGALG00000008463",148.112099220608,-0.222651184706555,0.172138489310002,-1.2934421906398,0.195858165943513,0.432423876600742
"ENSGALG00000008477",1448.32240748845,0.168092695882442,0.209620040008769,0.80189229939757,0.422615260961535,0.660322631680272
"ENSGALG00000028729",0.102083836928496,-0.128031409337695,0.16010319730233,-0.799680527903056,0.423895917554612,NA
